Inc+A1:F52ident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
181219024,2024-12-31,6,220,"Burglary, Breaking and Entering",1,18F40,"Grocery, Supermarket",8800,RICHMOND,AVE,,HOUSTON,77063.0,-95.519679,29.729073
181297624,2024-12-31,6,23H,All other larceny,1,18F40,"Residence, Home (Includes Apartment)",8787,WOODWAY,DR,,HOUSTON,77063.0,-95.518311,29.740994
181297624,2024-12-31,6,290,"Destruction, damage, vandalism",1,18F40,"Residence, Home (Includes Apartment)",8787,WOODWAY,DR,,HOUSTON,77063.0,-95.518311,29.740994
181444024,2024-12-31,6,520,Weapon law violations,1,20G70,"Highway, Road, Street, Alley",2317,BRIARWEST,BLVD,,HOUSTON,77077.0,-95.61416,29.74011
2593825,2024-12-31,7,13B,Simple assault,1,14D10,"Bar, Nightclub",4112,OLD SPANISH,TRL,,HOUSTON,77021.0,-95.35414,29.702464
181195424,2024-12-31,7,90J,Trespass of real property,1,1A50,"Hotel, Motel, ETC",6,GREENWAY PLAZA,DR,,HOUSTON,77046.0,-95.433093,29.731172
181200924,2024-12-31,7,23H,All other larceny,1,1A20,"Highway, Road, Street, Alley",2500,MONTROSE,BLVD,,HOUSTON,77006.0,-95.39198,29.747271
181203024,2024-12-31,7,23H,All other larceny,1,3B30,Convenience Store,5121,SHEPHERD,DR,N,HOUSTON,77018.0,-95.410893,29.840213
181203924,2024-12-31,7,13C,Intimidation,1,6B30,"Other, Unknown",5300,GULF BANK,RD,W,HOUSTON,77088.0,-95.465401,29.883106
181204624,2024-12-31,7,240,Motor vehicle theft,1,20G20,"Parking Lot, Garage",301,WILCREST,DR,,HOUSTON,77042.0,-95.576304,29.760607
181205724,2024-12-31,7,90J,Trespass of real property,1,12D20,Restaurant,11101,SAM HOUSTON,PKWY,S,HOUSTON,77089.0,-95.221392,29.60134
181207524,2024-12-31,7,23H,All other larceny,1,13D10,"Other, Unknown",6002,GRIGGS,RD,,HOUSTON,77023.0,-95.320945,29.699233
181212624,2024-12-31,7,13B,Simple assault,1,12D50,"Other, Unknown",14101,BAY POINTE,CT,,HOUSTON,77062.0,-95.156587,29.582371
181223724,2024-12-31,7,13C,Intimidation,1,15E40,"Other, Unknown",3620,WILLOWBEND,BLVD,,HOUSTON,77054.0,-95.430836,29.662421
181257324,2024-12-31,7,90Z,All other offenses,1,10H70,"Highway, Road, Street, Alley",1700,HERMANN,DR,,HOUSTON,77030.0,-95.384832,29.720422
181291024,2024-12-31,7,23H,All other larceny,1,5F20,"Other, Unknown",2201,WIRT,RD,,HOUSTON,77055.0,-95.485135,29.812845
181208824,2024-12-31,8,90Z,All other offenses,1,2A10,"Highway, Road, Street, Alley",2500,NORTH,FWY,,HOUSTON,77009.0,-95.371282,29.79438
181210924,2024-12-31,8,90J,Trespass of real property,1,1A30,Restaurant,3029,KIRBY,DR,,HOUSTON,77098.0,-95.418729,29.73804
181210924,2024-12-31,8,90Z,All other offenses,1,1A30,Restaurant,3029,KIRBY,DR,,HOUSTON,77098.0,-95.418729,29.73804
181211324,2024-12-31,8,290,"Destruction, damage, vandalism",1,18F40,"Department, Discount Store",8900,WESTHEIMER,RD,,HOUSTON,77063.0,-95.521277,29.737397
181212424,2024-12-31,8,90Z,All other offenses,1,9C30,"Jail, Prison",10950,BEAUMONT,HWY,,HOUSTON,77013.0,-95.239512,29.82008
181214224,2024-12-31,8,90Z,All other offenses,1,6B10,"Parking Lot, Garage",605,TIDWELL,RD,E,HOUSTON,77076.0,-95.390438,29.845534
181214224,2024-12-31,8,35A,"Drug, narcotic violations",1,6B10,"Parking Lot, Garage",605,TIDWELL,RD,E,HOUSTON,77076.0,-95.390438,29.845534
181214624,2024-12-31,8,240,Motor vehicle theft,1,20G30,"Residence, Home (Includes Apartment)",2830,WALNUT BEND,LN,,HOUSTON,77042.0,-95.566943,29.733854
181215224,2024-12-31,8,13C,Intimidation,1,15E10,"Residence, Home (Includes Apartment)",9109,FONDREN,RD,,HOUSTON,77074.0,-95.508675,29.679525
181215524,2024-12-31,8,290,"Destruction, damage, vandalism",1,19G40,"Parking Lot, Garage",11531,CREEKHURST,DR,,HOUSTON,77099.0,-95.580904,29.66433
181216524,2024-12-31,8,90Z,All other offenses,1,21I50,"Airplane, Bus,Train Terminal",3500,TERMINAL,RD,N,HOUSTON,77032.0,-95.33944,29.987427
181217924,2024-12-31,8,520,Weapon law violations,1,21I50,"Airplane, Bus,Train Terminal",3500,TERMINAL,RD,N,HOUSTON,77032.0,-95.33944,29.987427
181218224,2024-12-31,8,35A,"Drug, narcotic violations",1,13D10,"Department, Discount Store",6810,GULF,FWY,,HOUSTON,77087.0,-95.298747,29.703759
181218224,2024-12-31,8,35B,Drug equipment violations,1,13D10,"Department, Discount Store",6810,GULF,FWY,,HOUSTON,77087.0,-95.298747,29.703759
181218224,2024-12-31,8,23C,Shoplifting,1,13D10,"Department, Discount Store",6810,GULF,FWY,,HOUSTON,77087.0,-95.298747,29.703759
181219524,2024-12-31,8,13A,Aggravated Assault,1,14D10,"Parking Lot, Garage",3636,OLD SPANISH,TRL,,HOUSTON,77021.0,-95.362004,29.70213
181221624,2024-12-31,8,13A,Aggravated Assault,1,14D20,"Residence, Home (Includes Apartment)",3549,MAINER,ST,,HOUSTON,77021.0,-95.373214,29.685441
181222824,2024-12-31,8,13A,Aggravated Assault,1,10H40,"Highway, Road, Street, Alley",2111,FANNIN,ST,,HOUSTON,77002.0,-95.370671,29.748052
181222924,2024-12-31,8,90J,Trespass of real property,1,18F20,"Parking Lot, Garage",5100,WESTHEIMER,RD,,HOUSTON,77056.0,-95.464281,29.740718
181223124,2024-12-31,8,13B,Simple assault,1,17E10,"Drug Store, Doctors Office, Hospital",5314,DASHWOOD,DR,,HOUSTON,77081.0,-95.472824,29.707477
181226324,2024-12-31,8,13A,Aggravated Assault,1,7C20,"Residence, Home (Includes Apartment)",5700,KELLEY,ST,,HOUSTON,77026.0,-95.311022,29.813207
181241324,2024-12-31,8,23H,All other larceny,1,3B50,"Department, Discount Store",4412,NORTH,FWY,,HOUSTON,77022.0,-95.377168,29.830001
181280924,2024-12-31,8,90J,Trespass of real property,1,8C10,Convenience Store,4200,DENMARK,ST,,HOUSTON,77016.0,-95.328752,29.827303
181306624,2024-12-31,8,13B,Simple assault,1,20G40,"Hotel, Motel, ETC",2230,WOODLAND PARK,DR,,HOUSTON,77077.0,-95.580485,29.742476
181306624,2024-12-31,8,290,"Destruction, damage, vandalism",1,20G40,"Hotel, Motel, ETC",2230,WOODLAND PARK,DR,,HOUSTON,77077.0,-95.580485,29.742476
181329524,2024-12-31,8,90Z,All other offenses,1,8C40,"Residence, Home (Includes Apartment)",8953,LAS CRUCES,CIR,,HOUSTON,77078.0,-95.258636,29.842699
710625,2024-12-31,9,220,"Burglary, Breaking and Entering",1,6B10,"Residence, Home (Includes Apartment)",617,SOREN,LN,,HOUSTON,77076.0,-95.369007,29.855923
710625,2024-12-31,9,23F,Theft from motor vehicle,1,6B10,"Residence, Home (Includes Apartment)",617,SOREN,LN,,HOUSTON,77076.0,-95.369007,29.855923
181232024,2024-12-31,9,90Z,All other offenses,1,12D10,"Highway, Road, Street, Alley",1000,ELTON,ST,,HOUSTON,77034.0,-95.237129,29.649338
181233524,2024-12-31,9,13A,Aggravated Assault,1,15E30,Construction Site,9825,STELLA LINK,,,HOUSTON,77025.0,-95.439876,29.67595
181235124,2024-12-31,9,23C,Shoplifting,1,10H80,Convenience Store,6011,KIRBY,DR,,HOUSTON,77005.0,-95.418453,29.718348
181236524,2024-12-31,9,26F,Identify theft,1,10H30,"Bank, Savings & Loan",608,DELANO,ST,,HOUSTON,77003.0,-95.3475,29.750195
181237124,2024-12-31,9,90J,Trespass of real property,1,17E40,"Residence, Home (Includes Apartment)",12261,FONDREN,RD,,HOUSTON,77035.0,-95.508295,29.645284
181237824,2024-12-31,9,13C,Intimidation,1,10H40,"Residence, Home (Includes Apartment)",1111,MCILHENNY,ST,,HOUSTON,77002.0,-95.372113,29.745955
